scalerank,featurecla,geometry
1,Country,"POLYGON ((-59.57209469261153 -80.0401787250963, -59.86584937197463 -80.54965667106187, -60.15965572777012 -81.00032683707931, -62.25539343936708 -80.86317758577667, -64.48812537296985 -80.92193368929257, -65.74166642928995 -80.58882740673914, -65.74166642928995 -80.54965667106187, -66.29003089055504 -80.25577280061799, -64.03768775089765 -80.29494353629528, -61.88324561221705 -80.39287037548829, -61.13897579613337 -79.9813709451481, -60.61011918805832 -79.62867929475613, -59.57209469261153 -80.0401787250963))"
1,Country,"POLYGON ((-159.2081835601977 -79.49705942170873, -161.1276012848148 -79.6342086730113, -162.4398467682184 -79.28146534618703, -163.027407803377 -78.92877369579497, -163.0666043772704 -78.86996591584685, -163.7128956777287 -78.59566741324153, -163.7128956777287 -78.59566660579729, -163.1058009511638 -78.22333791113439, -161.2451134918464 -78.38017588314017, -160.2462080556445 -78.69364512142268, -159.4824045481545 -79.04633757925899, -159.2081835601977 -79.49705942170873))"
1,Country,"POLYGON ((-45.15475765642103 -78.04706960058674, -43.92082780615567 -78.47810272233326, -43.4899497137061 -79.08555999136854, -43.37243750667446 -79.51664478954737, -43.33326677099711 -80.02612273551293, -44.88053666846429 -80.33964365022771, -46.50617387550193 -80.59435678499432, -48.38642086444187 -80.82948455192236, -50.48210689960646 -81.02544158317313, -52.8519880845117 -80.96668547965731, -54.16425940613152 -80.63352752067159, -53.98799109558396 -80.22202809033141, -51.8531343247422 -79.94772958772609, -50.99132646341059 -79.61462330517276, -50.36459469257466 -79.18348683056165, -49.91413123228645 -78.81120900488671, -49.30695899107312 -78.45856903092692, -48.66061601418244 -78.04701792415446, -48.66061601418244 -78.0470187315987, -48.15139645037831 -78.04706960058674, -46.66285681821094 -77.83147552506504, -45.15475765642103 -78.04706960058674))"
1,Country,"POLYGON ((-121.2115113938571 -73.50099049900605, -119.9188512782921 -73.65772511814734, -118.724143032692 -73.48135345473521, -119.292118700012 -73.83409678155948, -120.23221716371 -74.08880991632617, -121.6228299566843 -74.01046844497171, -122.6217345854419 -73.65777760202388, -122.6217353928862 -73.65777679457963, -122.4062446702291 -73.32461883559392, -121.2115113938571 -73.50099049900605))"
1,Country,"POLYGON ((-125.5595664068953 -73.48135345473521, -124.0318818772669 -73.87326751723675, -124.6194687506415 -73.83409678155948, -125.9121805426389 -73.7361182659341, -127.2831296456819 -73.46176889434082, -127.2831304531262 -73.46176808689657, -126.5584718430973 -73.24622568780717, -125.5595664068953 -73.48135345473521))"
1,Country,"POLYGON ((-98.98154964882391 -71.93333424899978, -97.88474321164512 -72.07053517673475, -96.78793677446623 -71.95297129327072, -96.20034990109147 -72.5212053427522, -96.98376461463624 -72.44286387139765, -98.19808325884685 -72.48203460707492, -99.43201310911212 -72.44286387139765, -100.7834551664092 -72.50161997491355, -101.8018684558014 -72.30566294366278, -102.3307250638764 -71.89416432076686, -102.3307250638764 -71.89416351332261, -101.7039674548245 -71.71779184991038, -100.4309185453141 -71.85499277764534, -98.98154964882391 -71.93333424899978))"
1,Country,"POLYGON ((-68.45134599473033 -70.95582285576674, -68.33383378769878 -71.4064930217842, -68.51012793646234 -71.79840708428574, -68.78429724798698 -72.17073577894864, -69.95947099473642 -72.3078850302513, -71.07588863797005 -72.50384206150207, -72.38813412137378 -72.48425669366353, -71.8984999254082 -72.0923426311619, -73.07362199572555 -72.22949188246454, -74.19003963895906 -72.3666928101995, -74.95389482288149 -72.07275726332325, -75.01262508818121 -71.66125783298307, -73.91581865100233 -71.26934457792578, -73.91581865100233 -71.26934377048153, -73.23033077665065 -71.15177988701751, -72.07471655952347 -71.19095062269479, -71.78096188016036 -70.68147267672921, -71.72217993842835 -70.30919565849851, -71.74179114448319 -69.5057821656568, -71.17381547716315 -69.03547495536841, -70.25325151231581 -68.87874033622721, -69.72444658067306 -69.25101735445782, -69.48942216660959 -69.62334604912081, -69.05851823594384 -70.07401621513819, -68.72554114447107 -70.50515268974928, -68.45134599473033 -70.95582285576674))"
1,Country,"POLYGON ((-58.61414282900103 -64.15246713013323, -59.04507259788289 -64.36800952922263, -59.78934241396658 -64.21122323364915, -60.61192786318861 -64.30920174927454, -61.29741573754038 -64.54432951620248, -62.02210018578543 -64.79909432740146, -62.5117602199671 -65.09302987427762, -62.64885779483737 -65.48494232189066, -62.59012752953765 -65.85721934012136, -62.1200787014109 -66.19032562267481, -62.80556657576258 -66.42550506603504, -63.74569007023246 -66.50384653738959, -64.29410620792996 -66.8370044963753, -64.88169308130472 -67.15047373465772, -65.50842485214048 -67.58161020926883, -65.6650819566334 -67.95388722749954, -65.31254533553809 -68.36533498140741, -64.78371456567933 -68.67890757255451, -63.9611032782411 -68.91398366305026, -63.19729977075099 -69.22755625419734, -62.78595536970775 -69.61941864026659, -62.57051632348293 -69.99174733492958, -62.27673580590363 -70.38366139743113, -61.80666113956059 -70.71676767998457, -61.5129064601974 -71.08904469821518, -61.37580888532713 -72.01007375095321, -61.08197669131545 -72.38235076918392, -61.00366105817719 -72.77426483168546, -60.69026933454316 -73.166178894187, -60.82736690941346 -73.6952422079912, -61.37580888532713 -74.10674163833147, -61.9633699204856 -74.4398479208848, -63.29520077172796 -74.57699717218748, -63.74569007023246 -74.92974049901181, -64.35283647322967 -75.26284678156526, -65.86098731145188 -75.63512379979588, -67.19281816269404 -75.79191009536945, -68.44628170436584 -76.00745249445886, -69.79772376166284 -76.22299489354828, -70.60072384304635 -76.63449432388845, -72.20677568224536 -76.67366505956564, -73.96953630236976 -76.63449432388845, -75.55597693551394 -76.7128874716752, -77.2403702460677 -76.7128874716752, -76.92697852243367 -77.10480153417674, -75.39929399280513 -77.2810698447243, -74.2828763495715 -77.55542002376191, -73.65611874051936 -77.90811167415387, -74.77253638375308 -78.22163258886877, -76.49610042998401 -78.12365407324329, -77.92585812041938 -78.37841888444225, -77.98466590036747 -78.78991831478244, -78.02378495961247 -79.1818331847283, -76.84863705107912 -79.51493946728166, -76.63322384307048 -79.88721648551237, -75.36009741891175 -80.25954518017527, -73.24485185412462 -80.41633147574885, -71.44294633653922 -80.69062997835408, -70.01316280788777 -81.00415089306887, -68.19164608424765 -81.31767180778367, -65.70427853052666 -81.47445810335725, -63.25603003605087 -81.74875660596248, -61.55202551944248 -82.04269215283864, -59.69141557477346 -82.37585011182435, -58.71212134462641 -82.84610564568044, -58.22248714866083 -83.21843434034335, -57.00811682801802 -82.86569101351908, -55.36289425314163 -82.57175546664284, -53.61977067728824 -82.25823455192804, -51.54364417174611 -82.00352141716145, -49.76134986021555 -81.72917123812384, -47.27393063006238 -81.7095858702853, -44.82570797380259 -81.84673512158787, -42.80836340999247 -82.08191456494819, -42.16202043310187 -81.65082976676939, -40.7714334783436 -81.35689421989323, -38.24481767429697 -81.33730885205459, -36.2666696843803 -81.1217147765329, -34.38639685722427 -80.90617237744348, -32.31029618989831 -80.76902312614092, -30.097097947702 -80.5926514627287, -28.5498022120187 -80.33793832796209, -29.25490129242513 -79.98519500113775, -29.68580522309097 -79.63250335074568, -29.68580522309097 -79.26022633251506, -31.62480831554655 -79.29939706819225, -33.68132361503405 -79.45613168733354, -35.63991207532828 -79.45613168733354, -35.91410722506902 -79.08385466910292, -35.77700965019864 -78.33924814876499, -35.32654618991043 -78.12365407324329, -33.8967626612588 -77.88852630631533, -32.21236935070522 -77.65345021581957, -30.99805070649461 -77.35951466894342, -29.78373206228406 -77.06557912206718, -28.88277930349139 -76.67366505956564, -27.51175187835565 -76.49734507258579, -26.16033565927475 -76.36014414485084, -25.47482194670687 -76.28180267349637, -23.92755204923978 -76.24258026138682, -22.45859778491095 -76.10543101008425, -21.2246937728618 -75.90947397883339, -20.01037512865116 -75.67434621190543, -18.91354285325619 -75.43921844497739, -17.52298173671412 -75.12569753026258, -16.64158850754396 -74.79253957127688, -15.70149085129017 -74.49860402440072, -15.40771033371087 -74.10674163833147, -16.4653201969964 -73.87161387140341, -16.11278357590118 -73.46011444106324, -15.44685523117195 -73.14654184991616, -14.40880489750899 -72.95058481866531, -13.31197262211398 -72.71545705173735, -12.29350765628956 -72.40193613702255, -11.51006710452862 -72.01007375095321, -11.02043290856312 -71.53976654066491, -10.29577429853418 -71.2654163616273, -9.101015183946089 -71.32422414157551, -8.611380987980596 -71.65733042412894, -7.416621873392444 -71.69650115980613, -7.377451137715155 -71.32422414157551, -6.868231573911117 -70.93231007907397, -5.790984666354689 -71.03028859469936, -5.53637488445267 -71.40261728936227, -4.341667446296782 -71.46137339287817, -3.048981492515622 -71.28505340589824, -1.795492112627812 -71.16743784600192, -0.65948910155555 -71.22624562595013, -0.228636847322065 -71.6377450562903, 0.868195428072994 -71.30463877373688, 1.886686232113533 -71.12826711032474, 3.022637566753417 -70.99111785902208, 4.139055209987049 -70.85391693128713, 5.157546014027673 -70.61878916435919, 6.273911980828984 -70.46205454521788, 7.135719842160512 -70.24651214612848, 7.742866245157728 -69.89376881930411, 8.487110223025326 -70.1485336305031, 9.525134718472202 -70.01133270276813, 10.24984500493343 -70.48163991305651, 10.81782067225339 -70.8343315634485, 11.95382368332565 -70.63837453219773, 12.40428714361394 -70.24651214612848, 13.42277794765445 -69.97216196709095, 14.73499759284201 -70.03091807060677, 15.12675662604667 -70.40324676526977, 15.9493420752687 -70.03091807060677, 17.02658898282507 -69.91335418714274, 18.2017110531423 -69.87418345146557, 19.2593725928601 -69.89376881930411, 20.37573855966144 -70.01133270276813, 21.45298546721781 -70.07014048271634, 21.92303429534465 -70.40324676526977, 22.56940311045142 -70.69718231214593, 23.66618370941413 -70.5208106487338, 24.84135745616365 -70.48163991305651, 25.97730879080365 -70.48163991305651, 27.09372643403725 -70.46205454521788, 28.09258019380687 -70.32485361748293, 29.15024173352467 -70.2072897340189, 30.03158328626253 -69.93293955498139, 30.97173261894861 -69.75661956800155, 31.99017174655685 -69.65864105237617, 32.75405276869535 -69.38429087333856, 33.30244306817664 -68.83564219169571, 33.87041873549671 -68.50258758557466, 34.90849490737574 -68.65927052828357, 35.30020226414817 -69.01201385510794, 36.16201012547978 -69.24714162203598, 37.20003462092663 -69.16874847424914, 37.90510786311697 -69.5214401246412, 38.6494035174168 -69.7762049358401, 39.66789432145734 -69.54107716891214, 40.02043094255245 -69.10994069430103, 40.92135786312909 -68.93362070732118, 41.95943403500812 -68.60051442476777, 42.93870242693922 -68.4633134970328, 44.11387617368862 -68.26740814221432, 44.89729088723348 -68.05186574312492, 45.71992801288783 -67.81673797619688, 46.50334272643263 -67.60119557710746, 47.44344038268636 -67.71875946057149, 48.34441897969518 -67.36606781017943, 48.9907361183696 -67.0917176311419, 49.93088545105567 -67.11130299898053, 50.75347090027768 -66.8761752320525, 50.94932457866392 -66.52348358166043, 51.79154707215687 -66.2491334026229, 52.61413252137893 -66.05317637137213, 53.61303795758087 -65.89639007579855, 54.53355024599594 -65.8180486044441, 55.41494347516621 -65.87680470795991, 56.35504113141999 -65.97478322358539, 57.15809288923569 -66.2491334026229, 57.25596805199646 -66.68021820080173, 58.13736128116662 -67.01332448335515, 58.74450768416384 -67.28767466239267, 59.93931847518431 -67.40523854585669, 60.60522098169733 -67.67958872489422, 61.42780643091939 -67.95388722749954, 62.38748945501183 -68.01269500744765, 63.19048953639523 -67.81673797619688, 64.05234907415914 -67.40523854585669, 64.99244673041281 -67.62072926851381, 65.97171512234385 -67.73834482841013, 66.91186445502987 -67.85590871187415, 67.8911328469608 -67.93430185966091, 68.8900382831628 -67.93430185966091, 69.71262373238486 -68.97279144299837, 69.67345299670754 -69.22755625419734, 69.55594078967582 -69.67822642021471, 68.59625776558349 -69.93293955498139, 67.81273969917405 -70.30526824964429, 67.94988895047672 -70.69718231214593, 69.06630659371032 -70.67754526787499, 68.92915734240771 -71.06945933037653, 68.41998945503585 -71.44178802503953, 67.94988895047672 -71.85328745537971, 68.71376997261521 -72.16680837009451, 69.86930667509378 -72.2647868857199, 71.02489505400465 -72.08841522230776, 71.57328535348606 -71.69650115980613, 71.9062882831748 -71.32422414157551, 72.45462690622392 -71.01070322686073, 73.08141035349209 -70.71676767998457, 73.33602013539419 -70.3640243531602, 73.86487674346913 -69.87418345146557, 74.49155683787271 -69.7762049358401, 75.62755984894497 -69.73703420016291, 76.62646528514685 -69.61941864026659, 77.6449044127551 -69.4626840211254, 78.13453860872059 -69.07076995862376, 78.42837080273213 -68.69844126396086, 79.11385867708393 -68.32621592216245, 80.09312706901486 -68.07150278739584, 80.93534956250787 -67.87554575614507, 81.48379153842151 -67.54238779715936, 82.05176720574147 -67.36606781017943, 82.77642581577041 -67.20928151460592, 83.77533125197229 -67.3072600302313, 84.67620649611663 -67.20928151460592, 85.65552656447986 -67.0917176311419, 86.75235883987486 -67.15047373465772, 87.4770174499038 -66.8761752320525, 87.98628869014024 -66.20991099051335, 88.35841067907396 -66.48426116955096, 88.8284078307685 -66.95456837983924, 89.67063032426151 -67.15047373465772, 90.63036502478619 -67.22886688244456, 91.59009972531081 -67.11130299898053, 92.60853885291917 -67.18969614676729, 93.54863650917295 -67.20928151460592, 94.175419956441 -67.11130299898053, 95.01759077350167 -67.17011077892866, 95.78147179564016 -67.38565317801806, 96.68239871621668 -67.24850392671549, 97.75964562377303 -67.24850392671549, 98.68020958862044 -67.11130299898053, 99.71818240763506 -67.24850392671549, 100.3841882670127 -66.91534596772976, 100.8933561543845 -66.58223968517635, 101.5788957051685 -66.30788950613874, 102.8324109232725 -65.5632837932452, 103.4786763855147 -65.70048472098007, 104.2425574076532 -65.97478322358539, 104.9084599141662 -66.32752655040966, 106.1815605001088 -66.93493133556831, 107.1608805684722 -66.95456837983924, 108.0813928568872 -66.95456837983924, 109.1586397644437 -66.8370044963753, 110.2358349955677 -66.69980356864036, 111.0584721212221 -66.42550506603504, 111.7439599955738 -66.13156951915889, 112.8603776388074 -66.09234710704932, 113.6046732931074 -65.87680470795991, 114.388088006652 -66.07276173921078, 114.8973075704562 -66.38628265392558, 115.6023808126464 -66.69980356864036, 116.6991614116093 -66.66063283296309, 117.3847009623932 -66.91534596772976, 118.5794600769813 -67.17011077892866, 119.832923618653 -67.26808929455404, 120.8709997905322 -67.18969614676729, 121.6544145040769 -66.8761752320525, 122.3203686870224 -66.5626543173377, 123.2212956075989 -66.48426116955096, 124.1222742046076 -66.62146209728581, 125.1602470236223 -66.71938893647899, 126.1003963563083 -66.5626543173377, 127.0014266297494 -66.5626543173377, 127.8827681824872 -66.66063283296309, 128.8032804709024 -66.75861134858847, 129.7042590679112 -66.58223968517635, 130.7814542990353 -66.42550506603504, 131.7999451030759 -66.38628265392558, 132.9358964377159 -66.38628265392558, 133.8564604025633 -66.28830413830019, 134.7573873231398 -66.20996266694564, 135.0315824728804 -65.72007008881872, 135.0707532085577 -65.30857065847853, 135.6974849793936 -65.58286916108375, 135.8738049663734 -66.0335910035335, 136.2067045431977 -66.44509043387367, 136.618048944241 -66.77819671642712, 137.460271437734 -66.95456837983924, 138.5962227723739 -66.89576059989113, 139.9084424175614 -66.8761752320525, 140.8094210145702 -66.81736745210438, 142.1216923361901 -66.81736745210438, 143.0618416688762 -66.79778208426575, 144.3740613140637 -66.8370044963753, 145.490427280865 -66.91534596772976, 146.1955521994876 -67.22886688244456, 145.9996985211014 -67.60119557710746, 146.6460673362082 -67.89513112398362, 147.7232625673323 -68.13025889091168, 148.8396285341336 -68.38502370211063, 150.1323144879148 -68.56129201265819, 151.4837048687797 -68.71812998466407, 152.5022473492524 -68.87481292737299, 153.6381986838925 -68.8945016480762, 154.2845674989992 -68.56129201265819, 155.1658573753047 -68.83564219169571, 155.9297900738755 -69.14921478284288, 156.8111316266134 -69.38429087333856, 158.0255277854724 -69.48226938896394, 159.1810128115187 -69.59983327242796, 159.6706986839166 -69.99174733492958, 160.8066500185565 -70.22687510185754, 161.5704793642627 -70.5796184286819, 162.6868970074962 -70.73635304782312, 163.8424337099749 -70.71676767998457, 164.9196806175312 -70.77552378350038, 166.1144397321194 -70.75593841566175, 167.3090954938429 -70.8343315634485, 168.4256164899411 -70.97148081475115, 169.4635893089557 -71.2066602581115, 170.5016654808349 -71.40261728936227, 171.2067903994574 -71.69650115980613, 171.0892265159935 -72.08841522230776, 170.5604215843507 -72.44115854913203, 170.1099581240624 -72.89182871514947, 169.757369826535 -73.24452036554155, 169.2873209984081 -73.65601979588172, 167.9751013532206 -73.81280609145523, 167.3874886416296 -74.16549774184729, 166.0948026878484 -74.3810401409367, 165.6443909039924 -74.77295420343825, 164.9588513532085 -75.14528289810123, 164.2341927431795 -75.45880381281603, 163.8227966657039 -75.8703032431562, 163.5682385602342 -76.24258026138682, 163.4702600446088 -76.69330210383656, 163.4898970888798 -77.06557912206718, 164.0578727561998 -77.45744150813653, 164.2733634788569 -77.82977020279942, 164.743463983416 -78.18251352962378, 166.6041256045171 -78.31961110449416, 166.9957812848573 -78.75074757910517, 165.193875767272 -78.90748300569071, 163.6662170758596 -79.12302540478012, 161.7663847190812 -79.16224781688967, 160.9241622255882 -79.73048186637106, 160.7478939150406 -80.20073740022715, 160.3169641461587 -80.57306609489007, 159.7882108909482 -80.94539478955305, 161.1200159039744 -81.27850107210648, 161.6292871442109 -81.69000050244665, 162.4909916526778 -82.06227752067727, 163.7053361351045 -82.39543547966299, 165.0959489280789 -82.70895639437779, 166.6041256045171 -83.02247730909258, 168.895665318068 -83.33599822380737, 169.4047815290076 -83.82589080193439, 172.2839339541493 -84.04143320102379, 172.477048781624 -84.11791432081569, 173.2240832868354 -84.41371021925441, 175.9856718285131 -84.15899708448774, 178.2772115420641 -84.47251799920252, 180.0000000000001 -84.71338, 180.0000000000001 -90, -180 -90, -180 -84.71338, -179.942499356179 -84.72144337355249, -179.0586773346912 -84.13941171664918, -177.2567718171058 -84.45293263136389, -177.1408066732659 -84.41794122714832, -176.8619929423891 -84.33381199537715, -176.5239515605518 -84.2318107924755, -176.2303034638302 -84.14320347486859, -176.0846728180777 -84.09925912875833, -175.9341006134872 -84.10159102776555, -175.8298821686626 -84.11791432081569, -174.3825028148157 -84.53432301222365, -173.1165594147455 -84.11791432081569, -172.8891055980128 -84.06101856886235, -169.9512229075713 -83.88464690545021, -168.9999889801587 -84.11791432081569, -168.5301985341933 -84.23739023227456, -167.0220993724034 -84.57049651482791, -164.1821435211552 -84.8252096495946, -161.9297745432815 -85.13873056430938, -158.0713795644249 -85.37391000766972, -155.1922529774992 -85.0995598286322, -150.942098965438 -85.29551685988297, -148.5330728830716 -85.60903777459777, -145.888918226333 -85.31510222772161, -143.1077184786004 -85.040752048684, -142.8922794323756 -84.57049651482791, -146.8290683664633 -84.53127410271844, -150.060731574484 -84.29614633579038, -150.9029282297608 -83.90423227328884, -153.5862011383002 -83.68868987419944, -153.4099069895365 -83.23801970818198, -153.0377591623865 -82.82652027784181, -152.6656371734528 -82.4541915831789, -152.8615166900551 -82.04269215283864, -154.526298794554 -81.76839365023341, -155.2901798166924 -81.41565032340905, -156.8374497141596 -81.10212940869425, -154.4087865875222 -81.16093718864246, -152.0976615061328 -81.00415089306887, -150.6482926096426 -81.33730885205459, -148.8659982981121 -81.04337330517843, -147.2207498850195 -80.67104461051545, -146.4177489961918 -80.33793832796209, -146.7702864247313 -79.92643889762184, -148.0629465402963 -79.65208871858431, -149.5319008046251 -79.35820484814045, -151.5884161041125 -79.29939706819225, -153.3903216216978 -79.16224781688967, -155.3293763905858 -79.06426930126429, -155.9756676910442 -78.69193979915705, -157.2683019683931 -78.37841888444225, -158.0517683583701 -78.0256755576179, -158.365134243788 -76.88920745865505, -157.8754742096065 -76.98723765071271, -156.9745731272461 -77.30075856542751, -155.3293763905858 -77.20272837336984, -153.7428324045768 -77.06557912206718, -152.9202469553547 -77.49666392024599, -151.3337804839943 -77.3987370810529, -150.0019496327519 -77.18314300553121, -148.7484860910803 -76.90884450292597, -147.6124830800081 -76.57573822037253, -146.1044089489901 -76.47775970474714, -146.1435280082349 -76.10543101008425, -146.4960912749905 -75.73315399185354, -146.202309949967 -75.38041066502919, -144.9096239961858 -75.20403900161705, -144.3220371228111 -75.53719696060277, -142.7943525931825 -75.341239929352, -141.6387642142717 -75.08647511815303, -140.2090065238363 -75.06688975031449, -138.8575903047554 -74.96891123468902, -137.5061999238906 -74.73378346776104, -136.4289013399019 -74.51824106867164, -135.2145826956913 -74.30269866958224, -134.4311938203625 -74.36145477309806, -133.7456542695787 -74.4398479208848, -132.2571679287321 -74.30269866958224, -130.9253112392736 -74.47901865656209, -129.5542838141379 -74.45943328872345, -128.2420383307341 -74.32228403742079, -126.8906221116533 -74.42026255304626, -125.4020824794859 -74.51824106867164, -124.0114955247277 -74.47901865656209, -122.5621524664537 -74.49860402440072, -121.0736128342862 -74.51824106867164, -119.7025595709344 -74.47901865656209, -118.684145474098 -74.18508310968593, -117.4698009916713 -74.02834849054463, -116.2163116117835 -74.24389088963403, -115.0215524971954 -74.0675192262219, -113.9443314278552 -73.71482757582984, -113.2979884509645 -74.02834849054463, -112.9454518298694 -74.3810401409367, -112.2990830147627 -74.71419809992241, -111.2610585193158 -74.42026255304626, -110.0663252429437 -74.79253957127688, -108.7149090238628 -74.91010345474089, -107.5593464831681 -75.18445363377842, -106.1491483223551 -75.12569753026258, -104.8760735746288 -74.94932586685046, -103.3679485746228 -74.98849660252765, -102.0165065173257 -75.12569753026258, -100.6455307686223 -75.30201751724243, -100.1166999987634 -74.87093271906363, -100.763042975654 -74.53782643651027, -101.2527030098356 -74.18508310968593, -102.5453372871846 -74.10674163833147, -103.1133129545046 -73.73441294366847, -103.3287520007294 -73.36208424900556, -103.6812886218245 -72.61753021254424, -102.9174851143345 -72.75467946384683, -101.6052396309308 -72.81343556736273, -100.3125278389335 -72.75467946384683, -99.13737993040012 -72.91141408298812, -98.11888912635959 -73.20534962986427, -97.68803687212602 -73.55804128025633, -96.33659481482894 -73.61684906020446, -95.04396053748005 -73.47969980890187, -93.67290727412822 -73.28374277765101, -92.43900326207904 -73.166178894187, -91.42056413447071 -73.40130666111504, -90.08873328322835 -73.3229135133283, -89.22695126011303 -72.55872243259606, -88.42395117872962 -73.0093925986135, -87.26833696160261 -73.18576426202563, -86.01482174349863 -73.08778574640024, -85.19223629427648 -73.47969980890187, -83.87999081087295 -73.51887054457907, -82.66564632844623 -73.63643442804309, -81.47091305207414 -73.85197682713249, -80.68744666209699 -73.47969980890187, -80.29579098175699 -73.12695648207753, -79.296885545555 -73.51887054457907, -77.92585812041938 -73.42089202895369, -76.90736731637875 -73.63643442804309, -76.22187944202707 -73.96954071059652, -74.8900485907848 -73.87161387140341, -73.85202409533792 -73.65601979588172, -72.8335332912975 -73.40130666111504, -71.61921464708678 -73.26415740981247, -70.20904232449007 -73.14654184991616, -68.93591590033134 -73.0093925986135, -67.95662167018426 -72.79385019952409, -67.36906063502551 -72.4803292848093, -67.13403622096203 -72.04924448663049, -67.25154842799387 -71.6377450562903, -67.56494015162798 -71.24583099378876, -67.91747677272309 -70.85391693128713, -68.23084265814092 -70.46205454521788, -68.48545244004302 -70.10931121839351, -68.54420854355885 -69.71739715589197, -68.44628170436584 -69.32553476982272, -67.97623287623901 -68.95320607515973, -67.58449968125043 -68.54170664481956, -67.42784257675751 -68.14984425875031, -67.62367041692761 -67.71875946057149, -67.74118262395925 -67.32684539806995, -67.25154842799387 -66.8761752320525, -66.70318396672866 -66.58223968517635, -66.05681515162198 -66.20996266694564, -65.37132727727021 -65.89639007579855, -64.5682755194544 -65.60250620535469, -64.17654232446583 -65.17142302206436, -63.62815202498453 -64.89707284302685, -63.00139441593248 -64.64230803182787, -62.04168555362406 -64.58355192831205, -61.41492794457201 -64.27003101359725, -60.7098547023817 -64.07407398234648, -59.88726925315976 -63.95651009888246, -59.1625848049147 -63.70174528768349, -58.59455746116228 -63.38822437296869, -57.81114274761751 -63.27066048950467, -57.22358171245904 -63.52542530070365, -57.59572953960878 -63.85853158325708, -58.61414282900103 -64.15246713013323))"
1,Country,"POLYGON ((-67.75 -53.85, -66.45 -54.45, -65.05 -54.69999999999988, -65.5 -55.2, -66.45 -55.25, -66.95992 -54.89680999999989, -67.29102999999989 -55.30124, -68.14863 -55.61182999999988, -69.2321 -55.49906, -69.95809 -55.19843, -71.00568 -55.05383, -72.26390000000001 -54.49514, -73.2852 -53.9575199999999, -74.66253 -52.83749, -73.8381 -53.0474299999999, -72.43418 -53.7154, -71.10773 -54.07433, -70.59178 -53.61583, -70.26748000000001 -52.93123, -69.34565000000001 -52.5183, -68.63411000000001 -52.63625, -68.63401022758319 -52.63637045887437, -68.25 -53.09999999999988, -67.75 -53.85))"
1,Country,"POLYGON ((-58.55 -51.1, -57.75 -51.55, -58.05 -51.9, -59.4 -52.2, -59.85 -51.85, -60.7 -52.3, -61.2 -51.85, -60 -51.25, -59.15 -51.5, -58.55 -51.1))"
