Party,Party.1,Candidate,Votes,%,±
,Republican,John Thune (incumbent),265516,71.83%,-28.17%
,Democratic,Jay Williams,104140,28.17%,
Total votes,Total votes,Total votes,"'369,656'",'100.0%',
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
