2016 United States presidential election in Hawaii,2016 United States presidential election in Hawaii,2016 United States presidential election in Hawaii,2016 United States presidential election in Hawaii,2016 United States presidential election in Hawaii,2016 United States presidential election in Hawaii,2016 United States presidential election in Hawaii
Party,Party.1,Candidate,Running Mate,Votes,Percentage,Electoral votes
,Democratic,Hillary Clinton,Tim Kaine,266891,62.88%,3
,Republican,Donald Trump,Mike Pence,128847,30.36%,0
,Libertarian,Gary Johnson,William Weld,15954,3.76%,0
,Green,Jill Stein,Ajamu Baraka,12737,3.00%,0
,Constitution,Darrell Castle,Scott Bradley,4508,1.05%,0
,Democratic,Bernie Sanders,Elizabeth Warren,0,0.00%,1
Totals,Totals,Totals,Totals,424429,100.00%,4
