Party,Party.1,Candidate,Votes,%
,Democratic,Hillary Clinton,539260,47.92%
,Republican,Donald Trump,512058,45.5%
,Libertarian,Gary Johnson,37384,3.29%
,,None of these candidates,28863,2.54%
,Constitution,Darrell Castle,5268,0.46%
,Reform,Rocky de la Fuente,2552,0.23%
Total votes,Total votes,Total votes,1125385,100.00%
