2016 United States presidential election in Arkansas[11],2016 United States presidential election in Arkansas[11],2016 United States presidential election in Arkansas[11],2016 United States presidential election in Arkansas[11],2016 United States presidential election in Arkansas[11],2016 United States presidential election in Arkansas[11],2016 United States presidential election in Arkansas[11]
Party,Party.1,Candidate,Running mate,Votes,%,Electoral votes
,Republican,Donald Trump,Mike Pence,684872,60.57%,6
,Democratic,Hillary Clinton,Tim Kaine,380494,33.65%,0
,Libertarian,Gary Johnson,William Weld,29829,2.64%,0
,Independent,Evan McMullin,Nathan Johnson,13255,1.17%,0
,Green,Jill Stein,Ajamu Baraka,9473,0.84%,0
,Prohibition Party,Jim Hedges,Bill Bayes,4709,0.42%,0
,Constitution,Darrell Castle,Scott Bradley,4613,0.41%,0
,Independent,Lynn S. Kahn,Kathleen Monahan,3390,0.30%,0
Total,Total,Total,Total,1130635,100.00%,6
