Party,Party.1,Candidate,Votes,%,±
,Democratic,Lisa Blunt Rochester,233554,55.52%,-3.74%
,Republican,Hans Reigle,172301,40.96%,+4.20%
,Green,Mark J. Perri,8326,1.97%,-0.10%
,Libertarian,Scott Gesty,6436,1.55%,-0.36%
Total votes,Total votes,Total votes,"'420,617'",'100.0%',
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
