Party,Party.1,Candidate,Votes,%,±
,Republican,Tim Scott (incumbent),1241609,60.57%,-0.55%
,Democratic,Thomas Dixon[18],757022,36.93%,-0.16%
,Libertarian,Bill Bledsoe[19],37482,1.83%,
,American,Michael Scarborough,11923,0.58%,-1.17%
,,Write-ins,1857,0.09%,+0.05%
Total votes,Total votes,Total votes,"'2,049,893'",'100.0%',
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
