Party,Party.1,Candidate,Votes,%
,Democratic,Hillary Clinton,897572,54.57%
,Republican,Donald Trump,673215,40.93%
,Libertarian,Gary Johnson,48676,2.96%
,Green,Jill Stein,22841,1.39%
,Independent,Evan McMullin (write-in),2108,0.13%
,Independent,Write-ins,361,0.02%
,Constitution,Darrell Castle (write-in),147,0.01%
Total votes,Total votes,Total votes,1644920,100.00%
