Party,Party.1,Candidate,Votes,%
,Republican,Donald Trump,515231,45.54%
,Democratic,Hillary Clinton,310676,27.46%
,Unaffiliated,Evan McMullin,243690,21.54%
,Libertarian,Gary Johnson,39608,3.50%
,Unaffiliated,Jill Stein,9438,0.83%
,Constitution,Darrell Castle,8032,0.71%
,,Others,4755,0.42%
Total votes,Total votes,Total votes,1131430,100.00%
