2016 United States presidential election in Georgia,2016 United States presidential election in Georgia,2016 United States presidential election in Georgia,2016 United States presidential election in Georgia,2016 United States presidential election in Georgia,2016 United States presidential election in Georgia,2016 United States presidential election in Georgia
Party,Party.1,Candidate,Running mate,Votes,Percentage,Electoral votes
,Republican,Donald Trump,Mike Pence,2089104,50.44%,16
,Democratic,Hillary Clinton,Tim Kaine,1877963,45.35%,0
,Libertarian,Gary Johnson,William Weld,125306,3.03%,0
,Independent (write-in votes),Evan McMullin,Nathan Johnson,13017,0.31%,0
,Others / Write-In Votes,-,-,36057,0.87%,0
Totals,Totals,Totals,Totals,4141447,100.00%,16
Source: David Leip's Atlas of U.S. Presidential Elections,Source: David Leip's Atlas of U.S. Presidential Elections,Source: David Leip's Atlas of U.S. Presidential Elections,Source: David Leip's Atlas of U.S. Presidential Elections,Source: David Leip's Atlas of U.S. Presidential Elections,Source: David Leip's Atlas of U.S. Presidential Elections,Source: David Leip's Atlas of U.S. Presidential Elections
