Party,Party.1,Candidate,Votes,%,±
,Republican,John Barrasso (incumbent),136210,66.96%,-8.70%
,Democratic,Gary Trauner,61227,30.10%,+8.45%
,Libertarian,Joseph Porambo,5658,2.78%,
,Write-in,Write-in,325,0.16%,
Total votes,Total votes,Total votes,203420,100%,
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
