Party,Party.1,Candidate,Votes,%
,Democratic,Hillary Clinton,235603,53.09%
,Republican,Donald Trump,185127,41.72%
,Libertarian,Gary Johnson,14757,3.32%
,Green,Jill Stein,6103,1.37%
,Independent,Evan McMullin (write-in),706,0.16%
,Constitution,Darrell Castle (write-in),74,0.02%
,,Write-in (other),1444,0.32%
Total votes,Total votes,Total votes,443814,100.00%
