Party,Party.1,Candidate,Votes,%,±
,Republican,Roger Wicker (incumbent),547619,58.49%,+1.33%
,Democratic,David Baria,369567,39.47%,-1.08%
,Libertarian,Danny Bedwell,12981,1.39%,
,Reform,Shawn O'Hara,6048,0.65%,-0.41%
Total votes,Total votes,Total votes,936215,100%,
,Republican hold,Republican hold,Republican hold,Republican hold,Republican hold
