Party,Party.1,Candidate,Votes,%
,Republican,Donald Trump,700714,57.86%
,Democratic,Hillary Clinton,485131,40.06%
,Libertarian,Gary Johnson,14435,1.19%
,Constitution,Darrell Castle,3987,0.33%
,Green,Jill Stein,3731,0.31%
,Prohibition,James Hedges,715,0.06%
,American Delta,Rocky De La Fuente,644,0.05%
,Write-in,Other write-ins,1731,0.14%
Total votes,Total votes,Total votes,1211088,100.00%
