Party,Party.1,Candidate,Votes,%,±
,Republican,Donald Trump,163387,51.28%,−3.52%
,Democratic,Hillary Clinton,116454,36.55%,−4.26%
,Libertarian,Gary Johnson,18725,5.88%,+3.42%
,Green,Jill Stein,5735,1.80%,+0.83%
,Constitution,Darrell Castle,3866,1.21%,
,Reform,Rocky De La Fuente,1240,0.39%,
,Write-in,Write-in,9201,2.89%,
Total votes,Total votes,Total votes,318608,100%,+1.17%
