Party,Party.1,Candidate,Votes,%,±
,Democratic,Peter Welch (incumbent),264414,89.53%,+25.12%
,Liberty Union,Erica Clawson,29410,9.96%,+8.88%
,,Write-ins,1510,0.51%,+0.41%
Total votes,Total votes,Total votes,"'295,334'",'100.0%',
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
