Party,Party.1,Candidate,Votes,%
,Democratic,Hillary Clinton,348526,47.62%
,Republican,Donald Trump,345790,47.25%
,Libertarian,Gary Johnson,30694,4.13%
,Green,Jill Stein,6465,0.87%
,Independent,Evan McMullin (write-in),1064,0.15%
,Reform,Rocky De La Fuente,677,0.1%
,,Total Other Write-in,10965,1.47%
Total votes,Total votes,Total votes,743117,100.00%
