Party,Party.1,Candidate,Votes,%
,Democratic,Hillary Clinton,1002106,50.07%
,Republican,Donald Trump,782403,39.09%
,Libertarian,Gary Johnson,94231,4.71%
,Pacific Green,Jill Stein,50002,2.50%
,,write-ins,72594,3.63%
Total votes,Total votes,Total votes,2001336,100.00%
