Party,Party.1,Candidate,Votes,%,±
,Democratic,Hillary Clinton,2148278,55.45%,
,Republican,Donald Trump,1601933,41.35%,
,Libertarian,Gary Johnson,72477,1.87%,
,Green,Jill Stein,37772,0.98%,
,Constitution,Darrell Castle,6161,0.16%,
,Socialist Workers,Alyson Kennedy,2156,0.06%,
,American Delta Party,Rocky De La Fuente,1838,0.05%,
,Workers World,Monica Moorehead,1749,0.05%,
,Socialism and Liberation,Gloria La Riva,1682,0.04%,
Majority,Majority,Majority,546345,14.10%,
Turnout,Turnout,Turnout,3874046,,
