Party,Party.1,Candidate,Votes,%,±
,Democratic,Tammy Duckworth,3012940,54.86%,+8.44%
,Republican,Mark Kirk (incumbent),2184692,39.78%,-8.23%
,Libertarian,Kenton McMillen,175988,3.21%,+0.85%
,Green,Scott Summers,117619,2.14%,-1.04%
,Write-in,Write-in,639,0.01%,-0.02%
Total votes,Total votes,Total votes,5491878,100.00%,
,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican,Democratic gain from Republican
