Party,Party.1,Candidate,Votes,%,±
,Republican,Kevin Cramer,179720,55.11%,+5.79%
,Democratic-NPL,Heidi Heitkamp (incumbent),144376,44.27%,-5.97%
,Write-in,Write-in,2042,0.63%,
Total votes,Total votes,Total votes,326138,100.00%,
,Republican gain from Democratic-NPL,Republican gain from Democratic-NPL,Republican gain from Democratic-NPL,Republican gain from Democratic-NPL,Republican gain from Democratic-NPL
