PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,TIM SCOTT (INCUMBENT),1241609,60.57%,-0.55%
,DEMOCRATIC,THOMAS DIXON[18],757022,36.93%,-0.16%
,LIBERTARIAN,BILL BLEDSOE[19],37482,1.83%,
,AMERICAN,MICHAEL SCARBOROUGH,11923,0.58%,-1.17%
,,WRITE-INS,1857,0.09%,+0.05%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'2,049,893'",'100.0%',
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
