PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,INDEPENDENT,ANGUS KING (INCUMBENT),344575,54.31%,+1.42%
,REPUBLICAN,ERIC BRAKEY,223502,35.23%,+4.48%
,DEMOCRATIC,ZAK RINGELSTEIN,66268,10.45%,-2.81%
,WRITE-IN,WRITE-IN,64,0.01%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,634409,100.00%,
,INDEPENDENT HOLD,INDEPENDENT HOLD,INDEPENDENT HOLD,INDEPENDENT HOLD,INDEPENDENT HOLD
