PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,JOHN THUNE (INCUMBENT),265516,71.83%,-28.17%
,DEMOCRATIC,JAY WILLIAMS,104140,28.17%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'369,656'",'100.0%',
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
