COUNTY,TRUMP,TRUMP,CLINTON,CLINTON,JOHNSON,JOHNSON,STEIN,STEIN,MCMULLIN#,MCMULLIN%,OTHER#,OTHER%,TOTAL
KENT,36991,49.6%,33351,44.7%,2876,3.9%,1042,1.4%,109,0.2%,229,0.3%,74598
NEW CASTLE,85525,32.6%,162919,62.1%,9107,3.5%,3956,1.5%,514,0.2%,370,0.1%,262391
SUSSEX,62611,59.1%,39333,37.1%,2774,2.6%,1105,1.0%,83,0.1%,102,0.1%,106008
