PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,LISA BLUNT ROCHESTER,233554,55.52%,-3.74%
,REPUBLICAN,HANS REIGLE,172301,40.96%,+4.20%
,GREEN,MARK J. PERRI,8326,1.97%,-0.10%
,LIBERTARIAN,SCOTT GESTY,6436,1.55%,-0.36%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'420,617'",'100.0%',
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
