PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,RYAN ZINKE (INCUMBENT),285358,56.19%,+0.78%
,DEMOCRATIC,DENISE JUNEAU,205919,40.55%,+0.14%
,LIBERTARIAN,RICK BRECKENRIDGE,16554,3.26%,-0.92%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'507,831'",'100.0%',
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
