PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,MIKE LEE (INCUMBENT),760241,68.15%,+6.59%
,DEMOCRATIC,MISTY SNOW,301860,27.06%,-5.71%
,INDEPENDENT AMERICAN,STONEY FONUA,27340,2.45%,
,INDEPENDENT,BILL BARRON,26167,2.34%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'1,115,608'",'100.0%',
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
