PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,PATRICK LEAHY (INCUMBENT),192243,61.26%,-3.10%
,REPUBLICAN,SCOTT MILNE,103637,33.03%,+2.10%
,MARIJUANA,CRIS ERICSON,9156,2.92%,+1.76%
,INDEPENDENT,JERRY TRUDELL,5223,1.66%,
,LIBERTY UNION,PETER DIAMONDSTONE,3241,1.03%,+0.42%
,WRITE-IN,WRITE-INS,309,0.10%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'313,809'",'100.0%',
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
