PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,DONALD TRUMP,1318255,62.08%,+1.53%
,DEMOCRATIC,HILLARY CLINTON,729547,34.36%,−4.00%
,LIBERTARIAN,GARY JOHNSON,44467,2.09%,+1.50%
,GREEN,JILL STEIN,9391,0.44%,+0.28%
,WRITE-IN,WRITE-IN,21712,1.02%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2123372,100%,−9.37%
