PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,RICK SCOTT,4099505,50.06%,+7.82%
,DEMOCRATIC,BILL NELSON (INCUMBENT),4089472,49.93%,-5.30%
,WRITE-IN,WRITE-IN,607,<0.01%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,8189584,100.00%,
,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC
