PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,DONALD TRUMP,163387,51.28%,−3.52%
,DEMOCRATIC,HILLARY CLINTON,116454,36.55%,−4.26%
,LIBERTARIAN,GARY JOHNSON,18725,5.88%,+3.42%
,GREEN,JILL STEIN,5735,1.80%,+0.83%
,CONSTITUTION,DARRELL CASTLE,3866,1.21%,
,REFORM,ROCKY DE LA FUENTE,1240,0.39%,
,WRITE-IN,WRITE-IN,9201,2.89%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,318608,100%,+1.17%
