PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,MAGGIE HASSAN,354649,47.98%,+11.24%
,REPUBLICAN,KELLY AYOTTE (INCUMBENT),353632,47.84%,-12.32%
,INDEPENDENT,AARON DAY,17742,2.40%,
,LIBERTARIAN,BRIAN CHABOT,12597,1.70%,+0.65%
,,WRITE-INS,520,0.07%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'739,140'",'100.0%',
,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN
