PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,MIKE BRAUN,1161546,50.77%,+6.45%
,DEMOCRATIC,JOE DONNELLY (INCUMBENT),1025178,44.81%,-5.20%
,LIBERTARIAN,LUCY BRENTON,101153,4.42%,-1.26%
,WRITE-IN,WRITE-IN,70,<0.01%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2287947,100.00%,
,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC
