PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,SHERROD BROWN (INCUMBENT),2355923,53.41%,+2.70%
,REPUBLICAN,JIM RENACCI,2053963,46.57%,+1.87%
,WRITE-IN,WRITE-IN,1012,0.02%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,4417079,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
