PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,JOHN BARRASSO (INCUMBENT),136210,66.96%,-8.70%
,DEMOCRATIC,GARY TRAUNER,61227,30.10%,+8.45%
,LIBERTARIAN,JOSEPH PORAMBO,5658,2.78%,
,WRITE-IN,WRITE-IN,325,0.16%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,203420,100%,
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
