COUNTY,COUNTY.1,CLINTON,TRUMP,JOHNSON,STEIN,MCMULLIN,CASTLE,LA RIVA,DE LA FUENTE,TOTAL
BERNALILLO,PERCENT,52.22%,34.48%,10.81%,1.32%,0.79%,0.17%,0.16%,0.05%,100.00%
BERNALILLO,VOTES,143417,94698,29682,3614,2181,474,445,151,274662
CATRON,PERCENT,20.84%,71.45%,5.42%,1.12%,0.54%,0.59%,0.00%,0.05%,100.00%
CATRON,VOTES,427,1464,111,23,11,12,0,1,2049
CHAVES,PERCENT,27.30%,63.50%,7.94%,0.42%,0.50%,0.16%,0.11%,0.07%,100.00%
CHAVES,VOTES,5534,12872,1609,86,102,32,22,14,20271
CIBOLA,PERCENT,46.40%,39.63%,12.03%,0.91%,0.53%,0.20%,0.25%,0.06%,100.00%
CIBOLA,VOTES,3741,3195,970,73,43,16,20,5,8063
COLFAX,PERCENT,39.93%,48.48%,9.88%,0.69%,0.58%,0.23%,0.09%,0.11%,100.00%
COLFAX,VOTES,2129,2585,527,37,31,12,5,6,5332
CURRY,PERCENT,23.34%,67.58%,7.28%,0.55%,0.84%,0.29%,0.07%,0.04%,100.00%
CURRY,VOTES,3121,9035,973,74,112,39,10,6,13370
DE BACA,PERCENT,21.21%,68.13%,9.78%,0.66%,0.22%,0.00%,0.00%,0.00%,100.00%
DE BACA,VOTES,193,620,89,6,2,0,0,0,910
DONA ANA,PERCENT,53.71%,35.92%,7.74%,1.35%,0.80%,0.22%,0.16%,0.09%,100.00%
DONA ANA,VOTES,37947,25374,5471,953,566,157,115,65,70648
EDDY,PERCENT,25.59%,66.85%,6.48%,0.43%,0.42%,0.14%,0.06%,0.03%,100.00%
EDDY,VOTES,5033,13147,1275,84,83,27,12,6,19667
GRANT,PERCENT,48.99%,41.28%,7.02%,1.70%,0.62%,0.20%,0.15%,0.05%,100.00%
GRANT,VOTES,6276,5288,899,218,80,25,19,6,12811
GUADALUPE,PERCENT,53.09%,32.57%,13.03%,0.99%,0.27%,0.05%,0.00%,0.00%,100.00%
GUADALUPE,VOTES,970,595,238,18,5,1,0,0,1827
HARDING,PERCENT,29.60%,59.01%,10.44%,0.57%,0.00%,0.38%,0.00%,0.00%,100.00%
HARDING,VOTES,156,311,55,3,0,2,0,0,527
HIDALGO,PERCENT,41.88%,48.61%,7.32%,0.32%,1.44%,0.11%,0.16%,0.16%,100.00%
HIDALGO,VOTES,784,910,137,6,27,2,3,3,1872
LEA,PERCENT,22.19%,70.55%,6.20%,0.32%,0.45%,0.15%,0.10%,0.06%,100.00%
LEA,VOTES,3930,12495,1098,56,80,26,17,10,17712
LINCOLN,PERCENT,26.19%,66.23%,6.29%,0.66%,0.40%,0.10%,0.10%,0.02%,100.00%
LINCOLN,VOTES,2331,5896,560,59,36,9,9,2,8902
LOS ALAMOS,PERCENT,51.10%,30.86%,13.89%,1.10%,2.67%,0.27%,0.06%,0.05%,100.00%
LOS ALAMOS,VOTES,5562,3359,1512,120,291,29,7,5,10885
LUNA,PERCENT,43.80%,47.68%,6.59%,0.90%,0.69%,0.18%,0.07%,0.10%,100.00%
LUNA,VOTES,3195,3478,481,66,50,13,5,7,7295
MCKINLEY,PERCENT,62.55%,23.52%,11.11%,1.31%,0.80%,0.27%,0.35%,0.09%,100.00%
MCKINLEY,VOTES,13576,5104,2412,284,173,58,76,20,21703
MORA,PERCENT,62.93%,27.24%,7.95%,1.43%,0.20%,0.16%,0.04%,0.04%,100.00%
MORA,VOTES,1536,665,194,35,5,4,1,1,2441
OTERO,PERCENT,30.53%,59.26%,8.04%,0.84%,0.81%,0.33%,0.11%,0.07%,100.00%
OTERO,VOTES,6124,11886,1613,169,162,67,23,15,20059
QUAY,PERCENT,28.47%,61.93%,8.37%,0.42%,0.48%,0.22%,0.06%,0.06%,100.00%
QUAY,VOTES,1017,2212,299,15,17,8,2,2,3572
RIO ARRIBA,PERCENT,64.47%,24.19%,9.58%,1.26%,0.19%,0.11%,0.11%,0.09%,100.00%
RIO ARRIBA,VOTES,9592,3599,1425,188,28,17,16,13,14878
ROOSEVELT,PERCENT,24.44%,65.28%,8.10%,0.81%,0.97%,0.18%,0.13%,0.08%,100.00%
ROOSEVELT,VOTES,1454,3884,482,48,58,11,8,5,5950
SAN JUAN,PERCENT,27.90%,60.61%,9.11%,0.76%,1.09%,0.27%,0.21%,0.05%,100.00%
SAN JUAN,VOTES,12865,27946,4200,352,503,125,97,22,46110
SAN MIGUEL,PERCENT,67.76%,21.51%,8.51%,1.49%,0.33%,0.23%,0.09%,0.07%,100.00%
SAN MIGUEL,VOTES,7285,2313,915,160,35,25,10,8,10751
SANDOVAL,PERCENT,44.91%,41.99%,10.79%,1.02%,0.90%,0.21%,0.12%,0.06%,100.00%
SANDOVAL,VOTES,27707,25905,6657,627,553,129,76,36,61690
SANTA FE,PERCENT,71.10%,20.06%,6.11%,2.03%,0.41%,0.10%,0.13%,0.04%,100.00%
SANTA FE,VOTES,50793,14332,4362,1452,295,75,95,30,71434
SIERRA,PERCENT,31.11%,58.10%,8.53%,1.51%,0.39%,0.23%,0.12%,0.02%,100.00%
SIERRA,VOTES,1612,3010,442,78,20,12,6,1,5181
SOCORRO,PERCENT,48.24%,38.09%,11.68%,0.87%,0.57%,0.22%,0.29%,0.04%,100.00%
SOCORRO,VOTES,3313,2616,802,60,39,15,20,3,6868
TAOS,PERCENT,69.91%,17.87%,7.73%,4.04%,0.20%,0.04%,0.18%,0.03%,100.00%
TAOS,VOTES,10668,2727,1179,617,31,6,27,5,15260
TORRANCE,PERCENT,28.23%,58.73%,10.94%,1.04%,0.57%,0.25%,0.14%,0.09%,100.00%
TORRANCE,VOTES,1785,3714,692,66,36,16,9,6,6324
UNION,PERCENT,18.80%,71.45%,7.87%,0.76%,0.53%,0.41%,0.06%,0.12%,100.00%
UNION,VOTES,320,1216,134,13,9,7,1,2,1702
VALENCIA,PERCENT,39.29%,47.89%,11.04%,0.79%,0.58%,0.23%,0.10%,0.07%,100.00%
