PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,TED CRUZ (INCUMBENT),4260553,50.89%,-5.57%
,DEMOCRATIC,BETO O'ROURKE,4045632,48.33%,+7.71%
,LIBERTARIAN,NEAL DIKEMAN,65470,0.78%,-1.28%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,8371655,100%,
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
