PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,DON YOUNG (INCUMBENT),155088,50.32%,-0.65%
,DEMOCRATIC,STEVE LINDBECK,111019,36.02%,-4.95%
,LIBERTARIAN,JIM MCDERMOTT,31770,10.31%,+2.70%
,INDEPENDENT,BERNIE SOUPHANAVONG,9093,2.95%,
,WRITE-IN,WRITE-IN,1228,0.40%,-0.06%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,308198,100.00%,
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
