PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,MAZIE HIRONO (INCUMBENT),276316,71.15%,+8.55%
,REPUBLICAN,RON CURTIS,112035,28.85%,-8.55%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,388351,100%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
