PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,ELIZABETH WARREN (INCUMBENT),1633371,60.34%,+6.60%
,REPUBLICAN,GEOFF DIEHL,979210,36.17%,-10.02%
,INDEPENDENT,SHIVA AYYADURAI,91710,3.39%,
,WRITE-IN,WRITE-IN,2799,0.10%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2707090,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
