PARTY,PARTY.1,CANDIDATE,VOTES,%
,DEMOCRATIC,HILLARY CLINTON,897572,54.57%
,REPUBLICAN,DONALD TRUMP,673215,40.93%
,LIBERTARIAN,GARY JOHNSON,48676,2.96%
,GREEN,JILL STEIN,22841,1.39%
,INDEPENDENT,EVAN MCMULLIN (WRITE-IN),2108,0.13%
,INDEPENDENT,WRITE-INS,361,0.02%
,CONSTITUTION,DARRELL CASTLE (WRITE-IN),147,0.01%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,1644920,100.00%
