PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,CHRIS MURPHY (INCUMBENT),825579,59.53%,+4.71%
,REPUBLICAN,MATTHEW COREY,545717,39.35%,-3.94%
,LIBERTARIAN,RICHARD LION,8838,0.64%,-1.02%
,GREEN,JEFF RUSSELL,6618,0.48%,
,WRITE-IN,WRITE-IN,88,<0.01%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,1386840,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
