PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,JOE MANCHIN (INCUMBENT),290510,49.57%,-11.0%
,REPUBLICAN,PATRICK MORRISEY,271113,46.26%,+9.79%
,LIBERTARIAN,RUSTY HOLLEN,24411,4.17%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,586034,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
