PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,TAMMY BALDWIN (INCUMBENT),1472914,55.36%,+3.95%
,REPUBLICAN,LEAH VUKMIR,1184885,44.53%,-1.33%
,WRITE-IN,WRITE-IN,2964,0.11%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2660763,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
