PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,RON WYDEN (INCUMBENT),1105119,56.60%,-0.62%
,REPUBLICAN,MARK CALLAHAN,651106,33.35%,-5.90%
,WORKING FAMILIES,SHANTI LEWALLEN,61915,3.17%,+1.86%
,INDEPENDENT,STEVEN REYNOLDS,59516,3.05%,
,PACIFIC GREEN,ERIC NAVICKAS,48823,2.50%,
,LIBERTARIAN,JIM LINDSAY,23941,1.23%,+0.12
,,WRITE-INS,2058,0.10%,0.00%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'1,952,478'",'100.0%',
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
