PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,BOB CASEY JR. (INCUMBENT),2792437,55.74%,+2.05%
,REPUBLICAN,LOU BARLETTA,2134848,42.62%,-1.97%
,LIBERTARIAN,DALE KERNS,50907,1.02%,-0.70%
,GREEN,NEAL GALE,31208,0.62%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,5009400,100%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
