PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,JOSH HAWLEY,1254927,51.38,+12.27
,DEMOCRATIC,CLAIRE MCCASKILL (INCUMBENT),1112935,45.57,-9.24
,INDEPENDENT,CRAIG O'DEAR,34398,1.41,
,LIBERTARIAN,JAPHETH CAMPBELL,27316,1.12,-4.95
,GREEN,JO CRAIN,12706,0.52,
,WRITE-IN,WRITE-IN,7,<0.01,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2442289,100.00,
,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC,REPUBLICAN GAIN FROM DEMOCRATIC
