PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,MARTIN HEINRICH (INCUMBENT),376998,54.09%,+3.08%
,REPUBLICAN,MICK RICH,212813,30.53%,-14.75%
,LIBERTARIAN,GARY JOHNSON,107201,15.38%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,697012,100%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
