PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,TAMMY DUCKWORTH,3012940,54.86%,+8.44%
,REPUBLICAN,MARK KIRK (INCUMBENT),2184692,39.78%,-8.23%
,LIBERTARIAN,KENTON MCMILLEN,175988,3.21%,+0.85%
,GREEN,SCOTT SUMMERS,117619,2.14%,-1.04%
,WRITE-IN,WRITE-IN,639,0.01%,-0.02%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,5491878,100.00%,
,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN
