PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,KYRSTEN SINEMA,1191100,49.96%,+3.76%
,REPUBLICAN,MARTHA MCSALLY,1135200,47.61%,-1.62%
,GREEN,ANGELA GREEN,57442,2.41%,
,WRITE-IN,WRITE-IN,566,0.02%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2384308,100.00%,
,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN
