COUNTY,CLINTON,CLINTON,TRUMP,TRUMP,JOHNSON,JOHNSON,MCMULLIN%,MCMULLIN#,STEIN,STEIN,OTHERS%,OTHERS#,TOTALS#
GREEN,15.60%,832,81.98%,4372,1.58%,84,0.36%,19,0.45%,24,0.04%,2,5333
GREENUP,25.47%,4146,70.93%,11546,1.96%,319,0.89%,145,0.67%,109,0.07%,12,16277
HANCOCK,28.96%,1244,64.91%,2788,3.00%,129,2.03%,87,1.02%,44,0.07%,3,4295
HARDIN,32.31%,13944,62.50%,26971,3.27%,1413,1.02%,440,0.80%,346,0.10%,42,43156
HARLAN,12.75%,1372,84.87%,9129,1.45%,156,0.45%,48,0.36%,39,0.12%,13,10757
HARRISON,26.10%,2031,69.85%,5435,2.36%,184,1.00%,78,0.59%,46,0.09%,7,7781
HART,23.82%,1730,73.24%,5320,1.93%,140,0.44%,32,0.54%,39,0.04%,3,7264
HENDERSON,34.03%,6707,61.69%,12159,2.57%,507,0.90%,177,0.72%,142,0.09%,18,19710
HENRY,25.57%,1828,69.16%,4944,3.13%,224,1.23%,88,0.81%,58,0.10%,7,7149
HICKMAN,20.82%,449,76.82%,1657,1.21%,26,0.88%,19,0.28%,6,0.00%,0,2157
HOPKINS,21.18%,4310,75.09%,15277,2.35%,478,0.80%,163,0.48%,97,0.10%,20,20345
JACKSON,8.76%,482,88.87%,4889,1.44%,79,0.49%,27,0.36%,20,0.07%,4,5501
JEFFERSON,54.05%,190836,40.72%,143768,2.89%,10188,1.36%,4785,0.91%,3224,0.08%,298,353099
JESSAMINE,26.34%,6144,66.34%,15474,3.55%,829,2.89%,675,0.73%,170,0.15%,34,23326
JOHNSON,13.06%,1250,84.03%,8043,1.70%,163,0.46%,44,0.63%,60,0.13%,12,9572
KENTON,33.63%,24214,59.67%,42958,4.30%,3093,1.30%,938,0.98%,703,0.13%,92,71998
KNOTT,21.60%,1245,75.60%,4357,1.77%,102,0.68%,39,0.00%,0,0.35%,20,5763
KNOX,14.66%,1761,82.29%,9885,1.57%,189,0.85%,102,0.53%,64,0.09%,11,12012
LARUE,20.07%,1278,75.37%,4799,2.73%,174,1.26%,80,0.44%,28,0.13%,8,6367
LAUREL,13.85%,3440,82.92%,20592,1.90%,473,0.77%,192,0.46%,114,0.09%,22,24833
LAWRENCE,17.30%,1045,79.71%,4816,1.77%,107,0.61%,37,0.53%,32,0.08%,5,6042
LEE,16.65%,444,80.65%,2151,1.57%,42,0.71%,19,0.26%,7,0.15%,4,2667
LESLIE,8.90%,400,89.38%,4015,0.87%,39,0.40%,18,0.33%,15,0.11%,5,4492
LETCHER,16.88%,1542,79.84%,7293,2.30%,210,0.54%,49,0.41%,37,0.03%,3,9134
LEWIS,14.82%,785,82.35%,4363,1.79%,95,0.64%,34,0.30%,16,0.09%,5,5298
LINCOLN,19.51%,1865,76.75%,7338,2.36%,226,0.86%,82,0.46%,44,0.06%,6,9561
LIVINGSTON,19.10%,887,76.86%,3570,2.48%,115,0.99%,46,0.52%,24,0.06%,3,4645
LOGAN,25.28%,2755,71.36%,7778,2.10%,229,0.83%,91,0.39%,43,0.03%,3,10899
LYON,26.38%,1045,70.39%,2789,1.87%,74,0.91%,36,0.38%,15,0.08%,3,3962
MADISON,31.56%,11793,62.70%,23431,3.18%,1189,1.48%,552,0.94%,353,0.14%,53,37371
MAGOFFIN,22.91%,1172,74.75%,3824,1.29%,66,0.66%,34,0.33%,17,0.06%,3,5116
MARION,33.03%,2679,63.15%,5122,2.65%,215,0.73%,59,0.41%,33,0.04%,3,8111
MARSHALL,21.99%,3672,73.79%,12322,2.55%,426,1.04%,174,0.50%,84,0.12%,20,16698
MARTIN,9.18%,363,88.62%,3503,1.32%,52,0.51%,20,0.33%,13,0.05%,2,3953
MASON,27.29%,1970,68.49%,4944,2.40%,173,1.21%,87,0.53%,38,0.10%,7,7219
MCCRACKEN,29.18%,9134,66.36%,20774,2.68%,839,1.02%,320,0.69%,217,0.07%,23,31307
MCCREARY,11.50%,664,86.77%,5012,1.02%,59,0.33%,19,0.31%,18,0.07%,4,5776
MCLEAN,21.64%,988,74.05%,3381,3.00%,137,0.96%,44,0.33%,15,0.02%,1,4566
MEADE,24.74%,3026,70.80%,8660,2.72%,333,0.87%,107,0.79%,97,0.07%,8,12231
MENIFEE,25.19%,700,72.33%,2010,1.55%,43,0.50%,14,0.40%,11,0.04%,1,2779
MERCER,22.63%,2395,73.12%,7740,2.60%,275,0.95%,101,0.64%,68,0.06%,6,10585
METCALFE,21.13%,976,75.56%,3491,1.86%,86,0.89%,41,0.48%,22,0.09%,4,4620
MONROE,12.04%,601,85.71%,4278,1.52%,76,0.46%,23,0.26%,13,0.00%,0,4991
MONTGOMERY,27.58%,3158,68.60%,7856,2.31%,264,0.79%,91,0.59%,68,0.13%,15,11452
MORGAN,21.07%,1006,75.98%,3628,1.32%,63,0.90%,43,0.54%,26,0.19%,9,4775
MUHLENBERG,25.05%,3272,71.92%,9393,1.76%,230,0.82%,107,0.34%,44,0.11%,14,13060
NELSON,30.93%,6434,64.57%,13431,2.72%,565,0.97%,201,0.63%,131,0.19%,40,20802
NICHOLAS,27.70%,787,68.88%,1957,2.29%,65,0.67%,19,0.32%,9,0.14%,4,2841
OHIO,20.00%,2080,76.38%,7942,1.99%,207,1.01%,105,0.62%,64,0.00%,0,10398
OLDHAM,31.25%,10268,62.30%,20469,3.74%,1229,1.80%,590,0.86%,282,0.05%,15,32853
OWEN,21.24%,1062,74.89%,3745,2.44%,122,0.86%,43,0.50%,25,0.08%,4,5001
OWSLEY,14.55%,256,83.80%,1474,1.36%,24,0.00%,0,0.00%,0,0.28%,5,1759
PENDLETON,19.38%,1164,76.64%,4604,2.41%,145,1.10%,66,0.45%,27,0.02%,1,6007
PERRY,20.20%,2136,77.17%,8158,1.59%,168,0.54%,57,0.44%,47,0.06%,6,10572
PIKE,17.35%,4280,80.06%,19747,1.67%,413,0.50%,124,0.35%,86,0.06%,15,24665
POWELL,25.66%,1272,70.87%,3513,2.38%,118,0.44%,22,0.54%,27,0.10%,5,4957
PULASKI,15.01%,4208,81.67%,22902,2.00%,562,0.78%,218,0.45%,127,0.09%,24,28041
ROBERTSON,21.92%,222,74.93%,759,1.88%,19,0.79%,8,0.49%,5,0.00%,0,1013
ROCKCASTLE,13.68%,915,83.83%,5609,1.30%,87,0.75%,50,0.37%,25,0.07%,5,6691
ROWAN,37.24%,3295,58.48%,5174,2.34%,207,0.77%,68,0.96%,85,0.21%,19,8848
RUSSELL,13.37%,1093,83.96%,6863,1.87%,153,0.59%,48,0.00%,0,0.21%,17,8174
SCOTT,31.88%,7715,62.20%,15052,3.52%,853,1.66%,402,0.57%,139,0.16%,39,24200
SHELBY,30.50%,6276,64.12%,13196,3.06%,629,1.57%,324,0.67%,138,0.08%,17,20580
SIMPSON,28.47%,2144,67.41%,5077,2.66%,200,0.86%,65,0.50%,38,0.09%,7,7531
SPENCER,20.19%,1921,75.63%,7196,2.49%,237,1.17%,111,0.46%,44,0.06%,6,9515
TAYLOR,22.58%,2553,73.59%,8320,2.06%,233,1.26%,142,0.47%,53,0.04%,5,11306
TODD,21.80%,1042,75.58%,3612,1.34%,64,0.56%,27,0.54%,26,0.17%,8,4779
TRIGG,23.51%,1587,73.04%,4931,1.79%,121,0.87%,59,0.67%,45,0.12%,8,6751
TRIMBLE,23.14%,879,72.96%,2771,2.32%,88,0.74%,28,0.53%,20,0.31%,12,3798
UNION,21.43%,1331,75.69%,4701,1.85%,115,0.53%,33,0.47%,29,0.03%,2,6211
WARREN,35.01%,16966,59.18%,28673,3.31%,1605,1.56%,757,0.86%,415,0.08%,38,48454
WASHINGTON,25.20%,1420,71.20%,4013,1.97%,111,1.06%,60,0.30%,17,0.27%,15,5636
WAYNE,17.91%,1431,79.72%,6371,1.45%,116,0.51%,41,0.38%,30,0.04%,3,7992
WEBSTER,21.36%,1240,75.75%,4397,1.91%,111,0.59%,34,0.38%,22,0.02%,1,5805
WHITLEY,15.01%,2067,82.13%,11312,1.76%,242,0.75%,103,0.30%,41,0.07%,9,13774
WOLFE,28.58%,753,68.46%,1804,1.59%,42,0.99%,26,0.34%,9,0.04%,1,2635
WOODFORD,36.56%,4958,56.75%,7697,3.90%,529,1.81%,246,0.86%,117,0.12%,16,13563
TOTALS,32.68%,628854,62.52%,1202971,2.79%,53752,1.18%,22780,0.72%,13913,0.10%,1879,1924149
