COUNTY,COUNTY.1,CANDIDATE,CANDIDATE.1,CANDIDATE.2,CANDIDATE.3,CANDIDATE.4,CANDIDATE.5,CANDIDATE.6,CANDIDATE.7,CANDIDATE.8,CANDIDATE.9,CANDIDATE.10,TOTAL
COUNTY,COUNTY.1,MARGIN,CLINTON,TRUMP,JOHNSON,STEIN,SANDERS,LA RIVA,MCMULLIN,MATUREN,KOTLIKOFF,WHITE,TOTAL
ALAMEDA,PERCENT,64.03%,78.69%,14.66%,2.58%,2.73%,0.64%,0.48%,0.20%,0.01%,0.00%,0.00%,100.00%
ALAMEDA,VOTES,418920,514842,95922,16906,17830,4206,3162,1291,71,27,9,654266
ALPINE,PERCENT,19.43%,55.48%,36.05%,4.15%,3.49%,0.17%,0.50%,0.17%,0.00%,0.00%,0.00%,100.00%
ALPINE,VOTES,117,334,217,25,21,1,3,1,0,0,0,602
AMADOR,PERCENT,-25.26%,33.86%,59.12%,4.53%,1.28%,0.56%,0.31%,0.33%,0.00%,0.00%,0.00%,100.00%
AMADOR,VOTES,-4481,6004,10485,804,227,100,55,59,0,0,0,17734
BUTTE,PERCENT,-3.74%,43.50%,47.24%,4.84%,2.71%,0.82%,0.52%,0.36%,0.01%,0.00%,0.00%,100.00%
BUTTE,VOTES,-3577,41567,45144,4625,2594,782,501,340,10,0,1,95564
CALAVERAS,PERCENT,-24.06%,34.34%,58.40%,4.77%,1.83%,0.32%,0.24%,0.10%,0.00%,0.00%,0.00%,100.00%
CALAVERAS,VOTES,-5567,7944,13511,1104,424,75,56,22,0,0,0,23136
COLUSA,PERCENT,-13.42%,40.12%,53.54%,3.92%,1.28%,0.36%,0.59%,0.18%,0.00%,0.00%,0.00%,100.00%
COLUSA,VOTES,-890,2661,3551,260,85,24,39,12,0,0,0,6632
CONTRA COSTA,PERCENT,43.62%,68.49%,24.87%,3.46%,1.85%,0.69%,0.34%,0.29%,0.01%,0.00%,0.00%,100.00%
CONTRA COSTA,VOTES,203331,319287,115956,16123,8637,3204,1566,1355,36,11,0,466175
DEL NORTE,PERCENT,-17.25%,36.46%,53.71%,4.35%,2.56%,1.45%,0.85%,0.61%,0.00%,0.00%,0.00%,100.00%
DEL NORTE,VOTES,-1649,3485,5134,416,245,139,81,58,0,0,0,9558
EL DORADO,PERCENT,-13.72%,38.90%,52.62%,5.37%,1.52%,0.76%,0.20%,0.62%,0.00%,0.00%,0.00%,100.00%
EL DORADO,VOTES,-12843,36404,49247,5027,1425,713,190,578,4,3,0,93591
FRESNO,PERCENT,6.12%,50.06%,43.94%,3.28%,1.52%,0.50%,0.31%,0.38%,0.01%,0.00%,0.00%,100.00%
FRESNO,VOTES,17292,141341,124049,9246,4300,1417,875,1070,17,3,1,282319
