COUNTY,COUNTY.1,CANDIDATE,CANDIDATE.1,CANDIDATE.2,CANDIDATE.3,CANDIDATE.4,CANDIDATE.5,CANDIDATE.6,CANDIDATE.7,CANDIDATE.8,CANDIDATE.9,CANDIDATE.10,TOTAL
GLENN,PERCENT,-28.75%,32.37%,61.12%,3.96%,1.02%,0.61%,0.57%,0.33%,0.02%,0.00%,0.00%,100.00%
GLENN,VOTES,-2723,3065,5788,375,97,58,54,31,2,0,0,9470
HUMBOLDT,PERCENT,25.03%,56.04%,31.01%,3.65%,6.21%,2.13%,0.64%,0.31%,0.01%,0.00%,0.00%,100.00%
HUMBOLDT,VOTES,14827,33200,18373,2163,3681,1264,379,181,5,0,0,59246
IMPERIAL,PERCENT,41.51%,67.93%,26.42%,2.54%,1.55%,0.61%,0.70%,0.17%,0.09%,0.00%,0.00%,100.00%
IMPERIAL,VOTES,19963,32667,12704,1221,745,291,339,81,43,0,0,48091
INYO,PERCENT,-13.52%,39.02%,52.54%,4.06%,2.65%,0.82%,0.63%,0.30%,0.00%,0.00%,0.00%,100.00%
INYO,VOTES,-1093,3155,4248,328,214,66,51,24,0,0,0,8086
KERN,PERCENT,-12.65%,40.42%,53.07%,3.83%,1.18%,0.49%,0.62%,0.36%,0.01%,0.00%,0.00%,100.00%
KERN,VOTES,-30895,98689,129584,9359,2887,1199,1522,891,27,3,2,244163
KINGS,PERCENT,-13.2%,40.15%,53.35%,3.95%,1.21%,0.34%,0.74%,0.27%,0.00%,0.00%,0.00%,100.00%
KINGS,VOTES,-4476,13617,18093,1338,411,115,251,90,0,0,0,33915
LAKE,PERCENT,3.66%,46.93%,43.27%,4.47%,3.80%,0.89%,0.42%,0.22%,0.00%,0.00%,0.00%,100.00%
LAKE,VOTES,897,11496,10599,1095,930,219,103,53,1,0,0,24496
LASSEN,PERCENT,-50.84%,21.13%,71.97%,4.49%,1.00%,0.49%,0.44%,0.45%,0.01%,0.02%,0.00%,100.00%
LASSEN,VOTES,-5350,2224,7574,473,105,52,46,47,1,2,0,10524
LOS ANGELES,PERCENT,49.35%,71.76%,22.41%,2.59%,2.23%,0.22%,0.64%,0.13%,0.01%,0.00%,0.00%,100.00%
LOS ANGELES,VOTES,1694621,2464364,769743,88968,76465,7724,21993,4607,274,155,15,3434308
MADERA,PERCENT,-14.68%,39.50%,54.18%,3.61%,1.49%,0.42%,0.43%,0.34%,0.02%,0.00%,0.00%,100.00%
MADERA,VOTES,-6328,17029,23357,1558,644,183,187,145,9,0,0,43112
MARIN,PERCENT,62.42%,78.05%,15.63%,3.00%,2.23%,0.64%,0.25%,0.18%,0.00%,0.00%,0.00%,100.00%
MARIN,VOTES,86936,108707,21771,4180,3109,896,351,249,4,6,0,139273
MARIPOSA,PERCENT,-23.24%,35.17%,58.41%,3.67%,2.13%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,100.00%
MARIPOSA,VOTES,-2063,3122,5185,326,189,0,55,0,0,0,0,8877
MENDOCINO,PERCENT,29.86%,58.91%,29.05%,3.55%,5.62%,2.11%,0.40%,0.33%,0.01%,0.01%,0.00%,100.00%
MENDOCINO,VOTES,11191,22079,10888,1331,2108,789,151,124,4,3,0,37477
MERCED,PERCENT,12.14%,52.72%,40.58%,3.40%,1.71%,0.71%,0.64%,0.23%,0.01%,0.00%,0.00%,100.00%
MERCED,VOTES,8592,37317,28725,2410,1209,506,454,162,6,0,0,70789
MODOC,PERCENT,-48.02%,23.15%,71.17%,3.22%,1.32%,0.50%,0.34%,0.29%,0.00%,0.00%,0.00%,100.00%
MODOC,VOTES,-1819,877,2696,122,50,19,13,11,0,0,0,3788
MONO,PERCENT,12.55%,52.56%,40.01%,4.21%,2.69%,0.04%,0.44%,0.06%,0.00%,0.00%,0.00%,100.00%
MONO,VOTES,662,2773,2111,222,142,2,23,3,0,0,0,5276
MONTEREY,PERCENT,40.62%,66.78%,26.16%,3.41%,2.12%,0.77%,0.50%,0.27%,0.01%,0.00%,0.00%,100.00%
MONTEREY,VOTES,54193,89088,34895,4547,2823,1025,661,358,8,2,1,133408
NAPA,PERCENT,35.5%,63.87%,28.37%,4.16%,2.06%,0.95%,0.34%,0.25%,0.00%,0.00%,0.00%,100.00%
NAPA,VOTES,21788,39199,17411,2551,1262,585,207,154,3,0,0,61372
NEVADA,PERCENT,4.9%,47.43%,42.53%,4.33%,3.98%,1.25%,0.15%,0.33%,0.00%,0.00%,0.00%,100.00%
NEVADA,VOTES,2688,26053,23365,2378,2189,685,85,179,0,0,1,54935
ORANGE,PERCENT,8.59%,50.94%,42.35%,3.85%,1.51%,0.52%,0.41%,0.41%,0.01%,0.00%,0.00%,100.00%
ORANGE,VOTES,102813,609961,507148,46128,18068,6239,4898,4917,131,27,4,1197521
PLACER,PERCENT,-11.83%,40.20%,52.03%,5.06%,1.37%,0.62%,0.13%,0.56%,0.02%,0.01%,0.00%,100.00%
PLACER,VOTES,-21629,73509,95138,9245,2501,1132,238,1032,33,10,1,182839
PLUMAS,PERCENT,-20.26%,35.75%,56.01%,4.25%,1.92%,1.24%,0.30%,0.53%,0.00%,0.00%,0.00%,100.00%
PLUMAS,VOTES,-1961,3459,5420,411,186,120,29,51,0,0,0,9676
RIVERSIDE,PERCENT,5.38%,49.73%,44.35%,3.21%,1.51%,0.45%,0.46%,0.29%,0.01%,0.00%,0.00%,100.00%
RIVERSIDE,VOTES,40452,373695,333243,24089,11320,3387,3433,2168,49,4,3,751391
SACRAMENTO,PERCENT,24.36%,58.29%,33.93%,4.36%,1.76%,0.79%,0.46%,0.39%,0.01%,0.00%,0.00%,100.00%
SACRAMENTO,VOTES,136234,326023,189789,24412,9846,4429,2556,2205,65,5,0,559330
SAN BENITO,PERCENT,21.35%,57.11%,35.76%,3.72%,1.66%,0.72%,0.63%,0.39%,0.00%,0.00%,0.00%,100.00%
SAN BENITO,VOTES,4680,12521,7841,815,364,158,138,86,0,1,0,21924
SAN BERNARDINO,PERCENT,10.64%,52.12%,41.48%,3.22%,1.62%,0.70%,0.58%,0.29%,0.01%,0.00%,0.00%,100.00%
SAN BERNARDINO,VOTES,69593,340833,271240,21050,10604,4551,3786,1877,37,5,0,653983
SAN DIEGO,PERCENT,19.73%,56.30%,36.57%,3.95%,1.75%,0.78%,0.26%,0.37%,0.01%,0.00%,0.00%,100.00%
SAN DIEGO,VOTES,257710,735476,477766,51663,22820,10255,3353,4851,152,42,22,1306400
SAN FRANCISCO,PERCENT,75.75%,85.04%,9.29%,2.19%,2.44%,0.50%,0.44%,0.09%,0.01%,0.00%,0.00%,100.00%
SAN FRANCISCO,VOTES,307396,345084,37688,8883,9904,2021,1799,373,22,13,5,405792
SAN JOAQUIN,PERCENT,14.36%,54.03%,39.67%,3.59%,1.40%,0.61%,0.40%,0.28%,0.01%,0.00%,0.00%,100.00%
SAN JOAQUIN,VOTES,32188,121124,88936,8049,3134,1372,903,617,26,5,0,224166
SAN LUIS OBISPO,PERCENT,8.11%,49.71%,41.60%,4.79%,2.11%,0.94%,0.31%,0.52%,0.01%,0.00%,0.00%,100.00%
SAN LUIS OBISPO,VOTES,10943,67107,56164,6473,2848,1273,425,702,13,3,1,135009
SAN MATEO,PERCENT,57.24%,75.67%,18.43%,3.01%,1.62%,0.69%,0.33%,0.24%,0.01%,0.00%,0.00%,100.00%
SAN MATEO,VOTES,179953,237882,57929,9464,5102,2159,1047,760,23,15,3,314384
SANTA BARBARA,PERCENT,28.73%,60.61%,31.88%,3.82%,2.10%,0.77%,0.39%,0.41%,0.01%,0.00%,0.00%,100.00%
SANTA BARBARA,VOTES,50777,107142,56365,6748,3719,1366,693,733,18,1,1,176786
SANTA CLARA,PERCENT,52.13%,72.71%,20.58%,3.60%,1.80%,0.58%,0.39%,0.33%,0.01%,0.00%,0.00%,100.00%
SANTA CLARA,VOTES,366858,511684,144826,25325,12664,4066,2759,2296,61,25,3,703709
SANTA CRUZ,PERCENT,56.52%,73.94%,17.42%,3.36%,3.48%,1.08%,0.49%,0.22%,0.01%,0.00%,0.00%,100.00%
SANTA CRUZ,VOTES,72811,95249,22438,4325,4485,1395,627,283,10,4,5,128821
SHASTA,PERCENT,-36.82%,27.86%,64.68%,4.22%,1.62%,0.65%,0.41%,0.55%,0.00%,0.00%,0.00%,100.00%
SHASTA,VOTES,-29477,22301,51778,3382,1300,520,329,439,2,2,0,80053
SIERRA,PERCENT,-24.43%,32.84%,57.27%,5.36%,2.30%,1.09%,0.82%,0.33%,0.00%,0.00%,0.00%,100.00%
SIERRA,VOTES,-447,601,1048,98,42,20,15,6,0,0,0,1830
SISKIYOU,PERCENT,-20.04%,35.30%,55.34%,4.27%,2.81%,1.31%,0.43%,0.51%,0.02%,0.00%,0.00%,100.00%
SISKIYOU,VOTES,-4107,7234,11341,875,575,269,88,104,5,1,0,20492
SOLANO,PERCENT,30.36%,61.62%,31.26%,3.76%,1.67%,0.87%,0.48%,0.34%,0.01%,0.00%,0.00%,100.00%
SOLANO,VOTES,50440,102360,51920,6254,2771,1437,804,557,10,0,0,166113
SONOMA,PERCENT,47.15%,69.38%,22.23%,3.89%,3.18%,0.79%,0.29%,0.23%,0.00%,0.00%,0.00%,100.00%
SONOMA,VOTES,109027,160435,51408,8987,7347,1835,679,543,9,8,2,231253
STANISLAUS,PERCENT,1.83%,47.43%,45.60%,3.87%,1.49%,0.69%,0.57%,0.33%,0.03%,0.00%,0.00%,100.00%
STANISLAUS,VOTES,3153,81647,78494,6662,2562,1184,986,563,46,2,0,172146
SUTTER,PERCENT,-15.21%,39.01%,54.22%,4.29%,1.14%,0.36%,0.59%,0.40%,0.00%,0.00%,0.00%,100.00%
SUTTER,VOTES,-5100,13076,18176,1437,382,120,198,134,0,0,0,33523
TEHAMA,PERCENT,-36.33%,28.48%,64.81%,3.99%,1.21%,0.58%,0.58%,0.34%,0.01%,0.00%,0.00%,100.00%
TEHAMA,VOTES,-8685,6809,15494,953,290,139,138,82,3,0,0,23908
TRINITY,PERCENT,-10.51%,38.94%,49.45%,5.31%,4.20%,1.41%,0.37%,0.32%,0.00%,0.00%,0.00%,100.00%
TRINITY,VOTES,-598,2214,2812,302,239,80,21,18,0,0,0,5686
TULARE,PERCENT,-9.54%,42.36%,51.90%,3.38%,1.44%,0.20%,0.57%,0.15%,0.00%,0.00%,0.00%,100.00%
TULARE,VOTES,-10714,47585,58299,3800,1620,226,636,163,5,0,0,112334
TUOLUMNE,PERCENT,-21.26%,35.74%,57.00%,4.31%,1.50%,0.92%,0.25%,0.28%,0.00%,0.00%,0.00%,100.00%
TUOLUMNE,VOTES,-5428,9123,14551,1101,384,236,63,71,0,0,0,25529
VENTURA,PERCENT,17.65%,55.27%,37.62%,3.89%,1.80%,0.58%,0.42%,0.40%,0.02%,0.00%,0.00%,100.00%
VENTURA,VOTES,62079,194402,132323,13679,6315,2031,1481,1422,60,9,4,351726
YOLO,PERCENT,41.44%,66.70%,25.26%,4.08%,2.17%,1.03%,0.44%,0.31%,0.01%,0.01%,0.00%,100.00%
YOLO,VOTES,34013,54752,20739,3346,1779,844,358,256,11,5,0,82090
YUBA,PERCENT,-22.88%,34.39%,57.27%,4.62%,1.90%,0.60%,0.73%,0.48%,0.00%,0.00%,0.00%,100.00%
YUBA,VOTES,-5260,7910,13170,1063,438,138,168,111,0,0,0,22998
TOTAL,PERCENT,30.11%,61.73%,31.62%,3.37%,1.96%,0.56%,0.47%,0.28%,0.01%,0.00%,0.00%,100.00%
TOTAL,VOTES,4269978,8753788,4483810,478500,278657,79341,66101,39596,1316,402,84,14181595
