2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII,2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII.1,2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII.2,2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII.3,2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII.4,2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII.5,2016 UNITED STATES PRESIDENTIAL ELECTION IN HAWAII.6
PARTY,PARTY.1,CANDIDATE,RUNNING MATE,VOTES,PERCENTAGE,ELECTORAL VOTES
,DEMOCRATIC,HILLARY CLINTON,TIM KAINE,266891,62.88%,3
,REPUBLICAN,DONALD TRUMP,MIKE PENCE,128847,30.36%,0
,LIBERTARIAN,GARY JOHNSON,WILLIAM WELD,15954,3.76%,0
,GREEN,JILL STEIN,AJAMU BARAKA,12737,3.00%,0
,CONSTITUTION,DARRELL CASTLE,SCOTT BRADLEY,4508,1.05%,0
,DEMOCRATIC,BERNIE SANDERS,ELIZABETH WARREN,0,0.00%,1
TOTALS,TOTALS,TOTALS,TOTALS,424429,100.00%,4
