PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,ROGER WICKER (INCUMBENT),547619,58.49%,+1.33%
,DEMOCRATIC,DAVID BARIA,369567,39.47%,-1.08%
,LIBERTARIAN,DANNY BEDWELL,12981,1.39%,
,REFORM,SHAWN O'HARA,6048,0.65%,-0.41%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,936215,100%,
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
