PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,PETER WELCH (INCUMBENT),264414,89.53%,+25.12%
,LIBERTY UNION,ERICA CLAWSON,29410,9.96%,+8.88%
,,WRITE-INS,1510,0.51%,+0.41%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'295,334'",'100.0%',
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
