PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,LIZ CHENEY (INCUMBENT),127963,63.58%,+1.55%
,DEMOCRATIC,GREG HUNTER,59903,29.77%,-0.20%
,LIBERTARIAN,RICHARD BRUBAKER,6918,3.44%,-0.15%
,CONSTITUTION,DANIEL CLYDE CUMMINGS,6070,3.02%,-1.10%
,,WRITE-INS,391,0.19%,-0.10%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'201,245'",'100.0%',
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
