2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA,2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA.1,2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA.2,2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA.3,2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA.4,2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA.5,2016 UNITED STATES PRESIDENTIAL ELECTION IN PENNSYLVANIA.6
PARTY,PARTY.1,CANDIDATE,RUNNING MATE,VOTES,PERCENTAGE,ELECTORAL VOTES
,REPUBLICAN,DONALD TRUMP,MIKE PENCE,2970733,48.18%,20
,DEMOCRATIC,HILLARY CLINTON,TIM KAINE,2926441,47.46%,0
,LIBERTARIAN,GARY JOHNSON,WILLIAM WELD,146715,2.38%,0
,GREEN,JILL STEIN,AJAMU BARAKA,49941,0.81%,0
,CONSTITUTION,DARRELL CASTLE,SCOTT BRADLEY,21572,0.35%,0
,OTHERS / WRITE-IN VOTES[CITATION NEEDED],,,50076,0.81%,0
TOTALS,TOTALS,TOTALS,TOTALS,6165478,100.00%,20
VOTER TURNOUT (VOTING AGE POPULATION),VOTER TURNOUT (VOTING AGE POPULATION),VOTER TURNOUT (VOTING AGE POPULATION),VOTER TURNOUT (VOTING AGE POPULATION),VOTER TURNOUT (VOTING AGE POPULATION),VOTER TURNOUT (VOTING AGE POPULATION),60.27%
SOURCE: PENNSYLVANIA DEPARTMENT OF STATE,SOURCE: PENNSYLVANIA DEPARTMENT OF STATE,SOURCE: PENNSYLVANIA DEPARTMENT OF STATE,SOURCE: PENNSYLVANIA DEPARTMENT OF STATE,SOURCE: PENNSYLVANIA DEPARTMENT OF STATE,SOURCE: PENNSYLVANIA DEPARTMENT OF STATE,SOURCE: PENNSYLVANIA DEPARTMENT OF STATE
