PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,PATTY MURRAY (INCUMBENT),1913979,59.01%,+6.65%
,REPUBLICAN,CHRIS VANCE,1329338,40.99%,-6.65%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,3243317,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
