PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,DOUG JONES,673896,49.97%,
,REPUBLICAN,ROY MOORE,651972,48.34%,−48.91%
,WRITE-IN,WRITE-IN,22852,1.69%,−1.06%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,1348720,100.00%,
,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN,DEMOCRATIC GAIN FROM REPUBLICAN
