PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,MARIA CANTWELL (INCUMBENT),1803364,58.43%,-2.02%
,REPUBLICAN,SUSAN HUTCHISON,1282804,41.57%,+2.02%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,3086168,100%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
