PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,REPUBLICAN,JOHN HOEVEN (INCUMBENT),268788,78.48%,+2.40%
,DEMOCRATIC-NPL,ELIOT GLASSHEIM,58116,16.97%,-5.20%
,LIBERTARIAN,ROBERT MARQUETTE,10556,3.08%,+1.45%
,INDEPENDENT,JAMES GERMALIC,4675,1.36%,
,,WRITE-INS,366,0.11%,
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'342,501'",'100.0%',
,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD,REPUBLICAN HOLD
