PARTY,PARTY.1,CANDIDATE,VOTES,%
,REPUBLICAN,DONALD TRUMP,700714,57.86%
,DEMOCRATIC,HILLARY CLINTON,485131,40.06%
,LIBERTARIAN,GARY JOHNSON,14435,1.19%
,CONSTITUTION,DARRELL CASTLE,3987,0.33%
,GREEN,JILL STEIN,3731,0.31%
,PROHIBITION,JAMES HEDGES,715,0.06%
,AMERICAN DELTA,ROCKY DE LA FUENTE,644,0.05%
,WRITE-IN,OTHER WRITE-INS,1731,0.14%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,1211088,100.00%
